class,img_auc,pix_auc,pro,threshold,infer_time
bottle,0.9530645161290323,0.9654332602612559,0.915976590543024,5.075253009796143,0.019800433298436608
cable,0.8447526236881559,0.933334486720584,0.9897554638269155,5.974401950836182,0.017525121370951333
capsule,0.8157159952134024,0.9800753528675276,0.8448916898630218,3.949681520462036,0.016435113820162685
carpet,0.9599036918138042,0.9627512045667954,0.893187132109417,4.017943859100342,0.018958348494309645
grid,0.8480367585630744,0.8645490298667137,0.9598556999836052,5.462031364440918,0.020755798388750125
hazelnut,0.9692857142857143,0.9685953675941826,0.9507192198719297,6.019227504730225,0.019272169199856845
leather,0.9670516304347826,0.9510860207105042,0.9447431365497734,4.164785861968994,0.018339878128420924
metal_nut,0.9051808406647116,0.9408368575244536,0.9394512152159086,5.560188293457031,0.01918558245119841
pill,0.8231314784506274,0.9280536517294584,0.9323326732936903,4.7776923179626465,0.018232178545283702
screw,0.8870055339208855,0.9501714874375725,0.9048238100476187,5.530791759490967,0.021648818254470827
tile,0.9289321789321789,0.866744981243531,0.92791583717224146,4.767035961151123,0.025578525331285264
toothbrush,0.9566666666666667,0.9696490341000227,0.9660718530416489,4.47072696685791,0.024635485240391324
transistor,0.855,0.8413236577813181,0.90329802632331846,5.981507778167725,0.021875092983245848
wood,0.9603508771929825,0.934323137028957,0.9588900577276945,4.778434753417969,0.021156495130514798
zipper,0.8876050420168067,0.9677565816055334,0.8518393653280595,4.070990085601807,0.019448588226015206
